x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5
-0.1614651,0.02677652,-0.2249675,-0.3770898,-0.4174587,0.2329593,-0.4184821,-0.4021533,-0.2158322,-0.1300045,0.01719922,0.224923,0,0.5,-0.225496,0,0.5,0.225496
-0.06183358,0.003814444,-0.2254902,-0.1552024,-0.4864303,0.2264154,-0.15077,-0.488325,-0.2245864,-0.0504488,0.002471547,0.2253475,0,0.5,-0.225496,0,0.5,0.225496
0.04981803,0.00223067,-0.2250601,0.1041219,-0.4929159,0.2276567,0.1540582,-0.4868007,-0.2205244,0.02243224,0.0002823016,0.2250999,0,0.5,-0.225496,0,0.5,0.225496
0.1122479,0.01181164,-0.2256324,0.3025947,-0.4538181,0.2161656,0.1746413,-0.4842461,-0.2153545,0.1458017,0.02086217,0.2242034,0,0.5,-0.225496,0,0.5,0.225496
0.1283847,0.01572483,-0.2229996,0.2327245,-0.4600407,0.2365814,0.06998887,-0.4794672,-0.1836199,0.194913,0.03837272,0.2226564,0,0.5,-0.225496,0,0.5,0.225496
0.08799568,0.007155772,-0.2253253,-0.07627147,-0.4542432,0.2343947,-0.02906558,-0.4788701,-0.2135194,0.1066655,0.01107476,0.2253209,0,0.5,-0.225496,0,0.5,0.225496
0.004303361,-3.896544e-05,-0.2211234,-0.2879651,-0.450113,0.1837931,-0.1566027,-0.4726266,-0.2470813,-0.08956758,0.007421916,0.2200233,0,0.5,-0.225496,0,0.5,0.225496
-0.1713919,0.03034643,-0.225559,-0.3574857,-0.4338657,0.2254073,-0.3423744,-0.4394727,-0.225355,-0.1728656,0.03081305,0.2255186,0,0.5,-0.225496,0,0.5,0.225496
-0.2835784,0.08780291,-0.2226197,-0.3585036,-0.4299757,0.1988414,-0.4818163,-0.3713149,-0.231044,-0.2179923,0.0492796,0.2220805,0,0.5,-0.225496,0,0.5,0.225496
-0.2712221,0.07929534,-0.2253563,-0.4041529,-0.4074697,0.2184973,-0.4771309,-0.3763556,-0.2255322,-0.255971,0.07001963,0.225271,0,0.5,-0.225496,0,0.5,0.225496
-0.1894441,0.03662061,-0.2254366,-0.4604698,-0.3871842,0.2186461,-0.5059743,-0.3505328,-0.2285778,-0.2083276,0.04459098,0.2251163,0,0.5,-0.225496,0,0.5,0.225496
-0.1438699,0.02061206,-0.2247791,-0.4797023,-0.3211157,0.2459868,-0.5564241,-0.2601426,-0.1943578,-0.1066692,0.01114777,0.2246314,0,0.5,-0.225496,0,0.5,0.225496
-0.1274996,0.01604789,-0.2223915,-0.4636087,-0.2832382,0.2763723,-0.5685325,-0.2101638,-0.156266,-0.05717803,0.002950845,0.2230339,0,0.5,-0.225496,0,0.5,0.225496
-0.1218832,0.01442052,-0.2235316,-0.4799038,-0.2701088,0.2669602,-0.5774337,-0.1829059,-0.1648161,-0.06360496,0.003569312,0.2236848,0,0.5,-0.225496,0,0.5,0.225496
-0.1322288,0.01768646,-0.2243698,-0.5263684,-0.232613,0.2597928,-0.5902062,-0.1787798,-0.1834782,-0.08937367,0.007950964,0.2245581,0,0.5,-0.225496,0,0.5,0.225496
-0.1358412,0.01848277,-0.2254175,-0.536599,-0.2665499,0.2331342,-0.5745364,-0.221352,-0.2139844,-0.1235568,0.01518803,0.2253691,0,0.5,-0.225496,0,0.5,0.225496
-0.154862,0.02444486,-0.2252747,-0.4821444,-0.3641577,0.2162079,-0.4764932,-0.3581496,-0.2347622,-0.1779313,0.03265307,0.2250593,0,0.5,-0.225496,0,0.5,0.225496
